release_date,id,name,popularity,explicit,artists,id_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration
1952-12-31,0BygvY67teB2HdUug7XhFn,Toot Gai Patwar Naiya,0,0,['Shankar Dasgupta'],['6gzoqzuacRAn90laFiHEuC'],0.45,0.142,1,-16.446,1,0.0419,0.99,0.82,0.111,0.518,61.876,4,171
2009-04-08,3Q9NwYmTZ72HwdR5eZCMj9,ナナ,42,0,['kariyushi58'],['0JUEsKG18QuDt6SmyHDrnL'],0.657,0.563,8,-5.283,1,0.0316,0.0544,0.0,0.14,0.797,97.982,4,284
2017-02-28,6CdUgvL597jWmW4w8P5kHs,Fine,71,0,['TAEYEON'],['3qNVuliS40BLgXGxhdBdqu'],0.36,0.565,7,-4.898,1,0.0608,0.358,0.0,0.0448,0.311,173.281,4,209
1985-01-01,3h1MskhY9KJ5sV6TI1xif4,あなたはショッキングシャイン,11,0,['Ami Ozaki'],['0BPn2k0BoBN6XceavMVCTj'],0.609,0.517,4,-11.822,0,0.0375,0.261,6.49e-06,0.247,0.682,124.109,4,253
1960-01-01,6OMfgFmLgw461alL4v5cXC,"Mozart: Symphony No. 38 in D Major, K. 504 ""Prague"": I. Adagio - Allegro",0,0,"['Wolfgang Amadeus Mozart', 'Herbert von Karajan', 'Philharmonia Orchestra']","['4NJhFmfw43RLBLjQvxDuRS', '5zCaQxjl110XTrm4LQ1CxY', '09KZU0NsS7jRa5p0SflmGY']",0.262,0.147,2,-16.066,1,0.0381,0.977,0.916,0.0611,0.127,79.026,4,622
2006-12-23,3iCyZkfs4LhjfELVwdD3q7,Manasuley Kalisey,33,0,"['Chakri', 'Kousalya']","['7puWXcCM8Li3HnKrxc1bEH', '1W9j3itOGw4WqyuZuErSqF']",0.572,0.872,5,-6.692,1,0.185,0.0946,0.000147,0.132,0.56,190.042,4,289
1991-01-01,6B5inOZyQG1Qjjc6EySIVe,Rehabilitacja komunistów,19,0,['Jacek Kaczmarski'],['53p5kiC47oEvG9E4VKDNl2'],0.617,0.445,8,-9.329,0,0.21,0.709,0.0,0.0951,0.969,165.744,4,111
1949-01-01,2WUVgEi53jPgIwO6Dmyww4,"La traviata, Act I: Libiamo (Drinking Song)",18,0,"['Giuseppe Verdi', 'José Carreras', 'Plácido Domingo', 'London Symphony Orchestra']","['1JOQXgYdQV2yfrhewqx96o', '1ahGKezyX9Rl7GuEF2tc15', '4pU3BpenOZFEBzORx2YBJW', '5yxyJsFanEAuwSM5kOuZKc']",0.351,0.148,10,-18.832,1,0.0522,0.961,1.02e-06,0.617,0.369,99.338,1,177
1971-04-01,37HbWL5rErWS3VddPk5Nas,Marleentje,7,0,['Hugo Raspoet'],['0knWNbzmCDsgIAkJHCYAZM'],0.65,0.344,10,-11.413,0,0.0576,0.833,0.0345,0.142,0.904,144.369,4,115
1967-10-24,64oyIII5r0TBoGojxEZqLy,活寶愛十三b,18,0,['環球群星'],['2jRujFGH1LOgWbeqIa8zO0'],0.586,0.144,8,-16.836,1,0.514,0.653,0.0,0.0615,0.676,76.23,5,718
2016-05-27,1V66ODJNfgKy9gqdkOptUE,Headbanging Man (2016 - Remaster),0,0,['Grave Digger'],['6mfghV4I1CD17FOhDKq7cJ'],0.287,0.96,2,-7.118,1,0.141,1.4e-05,0.00812,0.229,0.0556,131.625,4,217
2011-01-01,0FPgS2VaY9TASHRyAlAsW1,Lost in the Void,2,1,['Pentacrostic'],['7414dfvn24KwFZIz9NfJuA'],0.259,0.864,11,-16.939,1,0.0634,2.69e-05,0.934,0.0701,0.112,134.238,1,195
2010-06-21,62u3tOIvxB6mk8SXE8Dctr,Benci Tapi Rindu,32,0,['Ello'],['00o36BiAS5VuyfvzNtd3Ig'],0.809,0.465,4,-7.688,1,0.0842,0.7,0.000677,0.114,0.762,79.981,4,267
2009-04-21,34kiUruc7SS9vSKGuzuN3N,Memories of Our Dreams,40,0,['Eddie Peregrina'],['01AcofQCX5AJWmTyeLORZ2'],0.475,0.489,9,-4.171,0,0.0284,0.276,2.82e-05,0.114,0.506,79.536,1,187
1975-01-01,16EqgZdIawybW1y6fPvQHt,Kim Ne Derse Desin,18,0,['Kamuran Akkor'],['1hWI1MD4Pe3cgDsgk4eLfR'],0.663,0.647,6,-8.143,1,0.0718,0.284,0.0,0.105,0.835,79.939,4,179
1945-01-01,7aTc7CEdzwQBhGafDJsBK3,Sloppy Drunk Blues,1,0,['Sonny Boy Williamson I'],['1qxTNsrSi4fNXVO0sbMsl4'],0.74,0.165,10,-15.831,1,0.054,0.989,0.00311,0.0954,0.898,110.137,4,196
1997-03-31,5qZOWsS1BesEUl2bGf2tJC,Cempedak Jadi Nangka,23,0,['Xpdc'],['18kO3ELbWtzz5lisQ8fJQ9'],0.488,0.944,9,-7.464,0,0.0322,0.000751,6.54e-06,0.351,0.759,135.555,4,334
2008-05-20,3cctk11EmB3FuFLoICH9io,Zīmēšana,17,0,['Intars Busulis'],['1G4EpdOVG07CIlZY8hz59F'],0.613,0.883,5,-2.539,1,0.0368,0.42,0.0,0.207,0.845,160.082,4,268
1984-01-01,3JrWoCwdV2bKX7FslJMea8,Kapitel 08 - Auf dem Hexenberg (Folge 018),36,0,['Bibi Blocksberg'],['3t2iKODSDyzoDJw7AsD99u'],0.725,0.361,2,-12.314,1,0.953,0.925,0.0,0.544,0.593,80.634,4,65
1981-09-14,12pEW1c0pD2UC97HKd9obV,"Summer, Highland Falls - Live at the Bayou, Washington, D.C. - July 1980",38,0,['Billy Joel'],['6zFYqv1mOsgBRQbae3JJ9e'],0.477,0.544,5,-9.117,1,0.0276,0.435,0.000151,0.935,0.452,93.189,4,187
1984-01-01,7hjrWUNSDyRIEHQxr0P418,COME ON EVERYBODY,21,0,['TM NETWORK with Nile Rodgers'],['6oUQFLk8PhrMeDfleOvo9y'],0.784,0.921,11,-6.781,0,0.0544,0.0705,7.05e-05,0.318,0.913,127.523,4,308
1997-01-01,01exYgOSUZcPO486oim6d5,Kanntu brauð að baka,3,0,['Svanhildur Jakobsdóttir'],['5KDiGaXlk6lxzpXoynx6e4'],0.731,0.29,0,-11.146,1,0.052,0.84,0.0,0.141,0.68,117.526,4,127
2002-07-20,1LbTnzDL8utHPS0YPWCknw,Perfect,15,0,['Partizan'],['3HLVAZTuTDXy2nY0dWJVpw'],0.671,0.93,9,-2.498,1,0.0944,0.0341,0.000634,0.859,0.51,92.984,4,247
1986-01-01,26uVTO2oNHWgaf9Wrfn0kn,Případ Nudisty Bédi Šulisty - Live,8,0,['Ivo Jahelka'],['4bJik8CIieLC1IC6xZQurT'],0.591,0.274,6,-16.67,1,0.486,0.939,0.0,0.786,0.776,101.146,3,185
2014-09-30,2Nz6aF1umHh5Et6I5H581L,Hooked on a Feeling,65,0,"['Blue Swede', 'Björn Skifs']","['0UpuH5U4nZ3UGGUJi0Zfbp', '1Ek3VdZ8EPmcvgRIqnHlrF']",0.547,0.82,8,-6.728,1,0.0805,0.261,0.0,0.3,0.933,118.208,4,173
1998-01-01,6cPotqfVsYJyQAGIBGvT4O,Carro Velho,44,0,['Banda Eva'],['1wqkMc837HWUwdC8sOZ7lZ'],0.716,0.84,2,-4.965,1,0.32,0.111,0.0,0.383,0.727,159.399,4,186
2020-10-02,4j5KE54le4wAuLM31XjHCO,COMFY,53,1,"['Sivas', 'KESI', 'Noah Carter']","['3W7YeaPmcpi1UFutTF49kx', '2d7AMvzFwh5wUTuqQl3BAE', '2dfY7zXIP61MKHtD175hFp']",0.867,0.58,7,-4.296,1,0.203,0.0337,2.55e-06,0.138,0.467,127.978,4,190
1986-12-22,6gnRn5Nco0IgqKbVUjtq62,Söyleyemedim,14,0,['Nilüfer'],['3iVIrcJmrV7GawrxVWsBUF'],0.322,0.571,10,-8.656,0,0.0474,0.594,0.0,0.101,0.553,68.354,4,170
1981-01-01,5fYxdmezpkSXl5oML2IeT6,Roll On,20,0,['Pussycat'],['2rmQ5EEAIkloNGWdGlvCYM'],0.554,0.636,9,-10.357,1,0.0388,0.471,9.55e-06,0.199,0.924,174.118,4,190
1990-08-01,7BpFJRffkkmqnCDFjqQZdh,Verliefdheid Is Rampzalig,21,0,['Kinderen voor Kinderen'],['7evlWm7RyagYqxSQN5E6UN'],0.817,0.71,11,-9.944,1,0.0285,0.115,4.69e-06,0.0918,0.821,140.961,4,174
2006-07-26,3lQJF8QzeMyrGVbc46KieQ,Abriendo Caminos,45,0,['Diego Torres'],['0LALueHEQunQ2d61fXGeZh'],0.565,0.884,7,-6.342,1,0.0554,0.223,0.0,0.0732,0.89,106.665,4,250
2006-08-22,37h2zkPuD9l9wCqllP90d1,Angelska Pesna,1,0,['Naum Petreski'],['4y2iz6qwjvQJzk08u079lA'],0.613,0.784,3,-10.398,1,0.0665,0.845,0.903,0.409,0.792,135.73,4,224
1969-01-01,0NjBOQ5zCLOol5zgzYTPla,Aaja Tujhko Pukare Mera Pyar,21,0,['Mohammed Rafi'],['0gXDpqwYNDODn7fB0RDN8J'],0.343,0.347,9,-12.508,1,0.0353,0.487,1.83e-06,0.13,0.375,129.259,4,329
1988-03-15,4hNJyZPPb1MgxcxpuPIH2t,Mr. Jones,34,0,['Talking Heads'],['2x9SpqnPi8rlE9pjHBwmSC'],0.762,0.832,7,-5.744,1,0.0784,0.326,5.69e-06,0.0222,0.856,106.089,4,260
1968-02-06,1dwNfs9p0NiwvmI52iBdsR,"Bend Me, Shape Me",25,0,['American Breed'],['14Qw6EvhlsP3nA5AGl6Buy'],0.562,0.516,2,-12.981,1,0.034,0.00724,0.107,0.0826,0.723,124.392,4,149
1977-01-01,1Zpx5qwrsyXz5vlsLurHQN,Wehrmut,29,0,"['Cluster', 'Eno']","['5mNY0NPszdalbrb4ITO3M8', '2yCbPUc3ofVEofx216xRaY']",0.226,0.0779,9,-23.638,0,0.0394,0.975,0.842,0.0828,0.0472,68.602,4,304
2020-07-01,62k0bXBaJl93DJbBuqHhV8,Too Deep,47,1,"['Dof Twogee', 'HGEMONA$']","['1OJxI4NQfY6osMvhfRMMEX', '1POlf5v8Q8ciCcWlAcxnEm']",0.736,0.547,6,-11.838,0,0.424,0.695,0.000103,0.101,0.145,144.008,4,105
1995-08-28,6smnNnCLVfWD3p0vAgFPg6,063 - Fußballgangster - Teil 08,34,0,['Die drei ???'],['3meJIgRw7YleJrmbpbJK6S'],0.603,0.252,8,-17.985,1,0.568,0.509,0.0,0.23,0.676,99.689,1,105
2012-01-23,1uvE0Hn1ZO5fRHWjG7TpXd,No Pensé Enamorarme Otra Vez - Bolero,46,0,['Gilberto Santa Rosa'],['27vNK840zYq6IfDijHPsv1'],0.368,0.569,4,-6.256,0,0.0332,0.744,0.00414,0.125,0.425,162.338,4,319
1999-01-01,2LyfQ8isTU0r4UQBjdP4Wl,Da Ya Think I'm Sexy?,44,0,"['N-Trance', 'Rod Stewart']","['45InkbGypoMk5nVX6dsHkt', '2y8Jo9CKhJvtfeKOsYzRdT']",0.814,0.711,0,-8.984,1,0.0382,0.000554,0.0061,0.69,0.785,112.318,4,257
1940-01-01,1fcCkvNUvvQYFj9eTrMW5T,Pussy Willow,8,0,"['Duke Ellington', 'Duke Ellington Orchestra']","['4F7Q5NV6h5TSwCainz8S5A', '3W4GTSHxlqXfXjdmSNIbTB']",0.618,0.357,10,-17.824,0,0.231,0.779,0.708,0.156,0.623,158.498,4,273
1976-01-01,2kOZF8UfRAjJLwTG3rDS1W,Sword of Orion,19,0,['Vangelis'],['4P70aqttdpJ9vuYFDmf7f6'],0.0826,0.0575,5,-28.343,0,0.0412,0.615,0.904,0.13,0.0396,170.197,4,115
2018-09-28,1FoiCCH0WIxJxyWLG6qVjH,Electric Glow,6,0,"['Tritonal', 'Skyler Stonestreet']","['521qvhdobR0GzhvU6TFw76', '1sY8XHjk6WoA2B5YIGV1S2']",0.479,0.85,6,-4.562,0,0.0524,0.093,0.000454,0.257,0.294,127.981,4,276
1992-10-27,6CWp7j6Li7ZPWZOx75cIgN,Prins Ali,29,0,['Dan Ekborg'],['435Pe3XPpg0j9LTzwF1rJi'],0.514,0.482,10,-12.485,0,0.0948,0.753,0.0,0.168,0.58,103.186,4,172
1996-01-01,3hwJbd6F5wVZExYDSCyTro,Por No Saber De Ti,28,0,['Grupo Limite'],['2qWNYueLfc979iEdLOIK2C'],0.528,0.457,0,-10.952,1,0.127,0.194,5.67e-05,0.214,0.594,191.354,4,212
2020-12-31,3hV8uIYz5D5orhpgqixZHj,Una Canzone D'Amore Buttata Via,66,0,['Vasco Rossi'],['5l4nhyz8876RhgE2d18h65'],0.567,0.678,0,-4.946,1,0.0269,0.00385,3.06e-05,0.232,0.198,120.145,4,271
1994-01-01,3XP25hxbo7XbEj70sDwKhY,Sol på meg,29,0,['Vazelina Bilopphøggers'],['4FC10Nffya2LWWVBfrw0gr'],0.664,0.869,1,-7.559,1,0.034,0.355,2.06e-05,0.187,0.951,117.674,4,128
1974-01-01,3K5BNWjAjNsu3blI2ieP2L,I'm Stone In Love With You,42,0,['The Stylistics'],['2O0Hw1WSMbskB5tD9aWah3'],0.668,0.356,10,-11.645,1,0.0243,0.675,0.00023,0.0725,0.862,97.95,4,199
1989-06-01,6m3DS7rrJ8Ek1Q92tDCrl9,Jsi skvělej kus,11,0,['Znouzectnost'],['1loYy7D5AWnOSZZxSvLP5n'],0.48,0.889,3,-8.836,0,0.0818,0.0015,0.00344,0.214,0.514,159.776,4,132
2016-06-16,35fZ9h3uAIPlj0jimXEmBi,החיים שלנו תותים - Vazan & Nir & Moshe Remix - Mix Of Twenty Six,31,0,['חנן בן ארי'],['2CEe2nodhQBz40aZjDW8lT'],0.631,0.932,7,-3.834,1,0.1,0.0052,1.76e-05,0.0535,0.44,128.024,4,294
2017-02-22,4601ibnnyRVCYcEnHdWhHX,東京サマーセッション,44,0,"['HoneyWorks', '瀬戸口優', '榎本夏樹', '望月蒼太', '早坂あかり', '芹沢春輝', '合田美桜']","['40oxjbVm3kdeyJEiGsKrmd', '5Ded8sqS8vM4JFadTOBGv8', '08ssIssUsBY2JEPQ2iuYKt', '2qgfwvj6DFudBFNrH9iRDL', '5Qe4ChUStXpDpXN57HLvUa', '6vOB57iqQfIithCfGdVSQ0', '4VvBbDLVlbWTPGT28SOcJX']",0.59,0.858,11,-3.968,1,0.0508,0.00722,4.32e-06,0.0812,0.929,159.991,4,228
1972-01-01,4yDSdYlBOZ8v1hqvleTOS4,美酒加咖啡,4,0,['楊小萍'],['5YsJAAcgn1RztLSzbt5KBE'],0.295,0.303,0,-12.201,0,0.0293,0.578,0.0,0.113,0.461,153.222,4,200
1995-01-01,2Gl5BLqaa6ytU7i5ntOeqi,Limb by Limb - Original Ragga Mix,26,0,['Cutty Ranks'],['4qDGDPGMIJuIvPfUGe0Ngg'],0.939,0.655,7,-10.729,1,0.139,0.279,0.0,0.0569,0.864,98.021,4,238
1988-01-01,628PDJb0YqhXdPZ4XAHLEH,As the Deer,14,0,['FairHope'],['3uAi7CrXYka1rEpiXzKPMZ'],0.199,0.194,7,-15.642,1,0.037,0.884,0.903,0.0883,0.0886,97.388,4,225
1958-01-01,3zIuHdD8dkh1vPxQu334T7,Blue Train - Remastered,40,0,['John Coltrane'],['2hGh5VOeeqimQFxqXvfCUf'],0.503,0.286,8,-15.425,1,0.045,0.643,0.00112,0.156,0.569,136.098,4,643
1976-04-14,3saoDotwLzcVSTYMbvi6cX,"Kari Pers Polska, Pols",15,0,['Sven Nyhus Kvartett'],['5dgqd9Jlrus62pxyKd8nh4'],0.268,0.567,2,-4.687,1,0.0443,0.65,0.0976,0.152,0.751,147.268,3,123
1999-01-01,3b8Ms0iXzMne99udSjyT70,Te-Am Visat Ca Niciodată,10,0,['Gabriel Dorobantu'],['1Bsdo2Sq8N0f7AfHerzGu3'],0.489,0.541,9,-9.665,0,0.0688,0.331,0.0,0.0996,0.533,171.72,4,248
2020-10-02,2k5MlAukihCkHpA16HllII,Dame Tu Cariño,48,0,"['Anna Carina', 'Gusi']","['7moMwCf6s2SVquYO0rrlR8', '7GMRarEViKQmiTUMFZtrfe']",0.791,0.849,9,-3.282,1,0.246,0.034,5.27e-06,0.0699,0.572,96.138,4,206
1975-01-01,75Egs7jDwmkPOhIwa5pdmn,Erfðaskrá,1,0,['Megas'],['6XbSklZyAWRIxx7eP0netF'],0.391,0.168,2,-19.828,1,0.0606,0.797,0.000209,0.17,0.381,155.595,3,215
2013-08-13,6TVU39UDcCI1B8gOdToEB6,Desayuno Chino,26,0,['Carlos Méndez'],['4V23iI0ECMPnYanQ1M6T9q'],0.71,0.701,11,-8.246,0,0.0955,0.51,0.0171,0.0749,0.39,75.009,4,228
1942-11-13,1VNQckzkOu2ECNqH7npwjj,My crazy baby,3,0,['Mina'],['3HL1CyOnDLFJo1Rr8YBlKy'],0.516,0.402,5,-8.085,0,0.0276,0.878,0.00111,0.142,0.544,95.753,4,156
1959-08-23,3dMi8N8pEoNoewN6cYO2Am,Teléfono a Larga Distancia,4,0,['Marimba y Mariachis'],['1IG7KaDzM2XQVmYhStOV3Z'],0.532,0.325,0,-9.18,1,0.0427,0.711,0.399,0.139,0.196,126.488,4,156
1979-01-01,7vMqQLAA3A7ymNOaICmt2Z,Splendido splendente,48,0,['Donatella Rettore'],['7eIqewR3PiwQDItf5G2SyV'],0.829,0.843,4,-6.357,0,0.0336,0.219,0.0,0.151,0.97,118.811,4,207
1977-11-04,2IqSiva0K7SwHAWAoDHR0p,I Can't Give You Anything - 2017 Remaster,28,0,['Ramones'],['1co4F2pPNH8JjTutZkmgSm'],0.416,0.946,0,-3.65,1,0.0466,0.000538,3.97e-05,0.0907,0.953,184.587,4,121
1986-06-26,46ItpSqilGPHq5RsCiM5YJ,Lalie,15,0,['Koos Kombuis'],['6tj3rGjkpJ3Zw2tDOMnzGZ'],0.52,0.216,4,-15.834,0,0.0657,0.754,0.000239,0.322,0.544,141.292,4,212
1995-01-01,6q0LEm8fN71jTgLhljwpwq,Dentro em Breve,26,0,['Arautos Do Rei'],['7HMkkJU8KMSMpEZ1RA8gvK'],0.57,0.165,0,-14.125,1,0.0274,0.815,0.0,0.205,0.364,87.783,4,197
2021-01-22,1dEKQEn9Z5HdyBEZ7fmgAB,Paris Sunset,47,0,['London Beat Bass Boys'],['2LmPuy237XPqcKdCOhLjwx'],0.757,0.676,2,-7.398,1,0.058,0.367,0.955,0.139,0.321,99.999,4,119
2007-03-05,2xvLahWZQtVzvS9zkmyuQE,City Lights - Radio Edit,47,0,"['Blank & Jones', 'Mike Francis']","['2XTff332rrZaE1rBM47Krp', '2qvfcbHzXrZbWmZ6httFa5']",0.668,0.697,6,-8.634,0,0.028,0.492,0.0266,0.101,0.561,103.007,4,198
1991-01-01,7vKKyUYuhxO6qITsjlxSw5,Эскадрон,29,0,['Oleg Gazmanov'],['0tKxkHvnDulyGf7uTy1HQK'],0.788,0.849,4,-3.591,0,0.0918,0.182,1.2e-06,0.186,0.8,120.458,4,200
2003-01-01,1HQtWfXS21n8yYJWw7Xf2x,Sinnerman - Felix Da Housecat's Heavenly House Mix,56,0,"['Nina Simone', 'Felix Da Housecat']","['7G1GBhoKtEPnP86X2PvEYO', '4rC8J4M4aOqsQSCP4yoyJI']",0.811,0.792,11,-7.1,0,0.0454,0.152,0.0131,0.396,0.653,128.021,4,275
2016-02-12,6AwocOcBfflC7kkMUmowFv,Bericht,49,1,"['Lil Kleine', 'Frenna']","['3AlRiyjMywTVNzTcHbf9QT', '6m1LYS5NQonxjOcQFPQOb5']",0.54,0.757,2,-5.614,0,0.159,0.38,0.0,0.0775,0.735,105.047,4,135
2011-04-04,5W8wigrqKSB8jePf6xshpC,In The Year 2013,0,0,['Shympulz'],['7oJ71b2qubuYBiLl8V11tj'],0.626,0.726,0,-10.804,1,0.0384,0.0103,0.728,0.0677,0.168,135.011,4,629
1977-01-01,0mcjp7typ1CcpSiycHZT2E,The Princess Appears,39,0,"['John Williams', 'London Symphony Orchestra']","['3dRfiJ2650SZu6GbydcHNb', '5yxyJsFanEAuwSM5kOuZKc']",0.185,0.0599,8,-27.514,1,0.0428,0.956,0.872,0.125,0.0393,77.707,1,247
1964-01-01,7KJ40wyjkT4aqBNfzCI6Pm,Margouha,17,0,['Fairuz'],['0dwFxqYkvZLSA6U6XfQcDV'],0.418,0.268,11,-10.909,0,0.0307,0.923,3.31e-06,0.267,0.164,83.054,4,180
1939-07-01,7xmdJgKtNB6tOGEfZR3aEP,Good-bye!,0,0,['Kortársak'],['580AydcYSuTUpFCU2EnGVh'],0.719,0.288,10,-16.835,0,0.0509,0.789,0.0169,0.112,0.858,159.939,3,258
